<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
USDCB	60	20210622	010000	73.1987000	73.1987000	73.1987000	73.1987000	0
USDCB	60	20210623	010000	73.1661000	73.1661000	73.1661000	73.1661000	0
USDCB	60	20210624	010000	72.6671000	72.6671000	72.6671000	72.6671000	0
USDCB	60	20210625	010000	72.3260000	72.3260000	72.3260000	72.3260000	0
USDCB	60	20210626	010000	72.1694000	72.1694000	72.1694000	72.1694000	0
USDCB	60	20210629	010000	72.1777000	72.1777000	72.1777000	72.1777000	0
USDCB	60	20210630	010000	72.3723000	72.3723000	72.3723000	72.3723000	0
USDCB	60	20210701	010000	72.7234000	72.7234000	72.7234000	72.7234000	0
USDCB	60	20210702	010000	72.9086000	72.9086000	72.9086000	72.9086000	0
USDCB	60	20210703	010000	73.6175000	73.6175000	73.6175000	73.6175000	0
USDCB	60	20210706	010000	73.3540000	73.3540000	73.3540000	73.3540000	0
USDCB	60	20210707	010000	73.2660000	73.2660000	73.2660000	73.2660000	0
USDCB	60	20210708	010000	74.0580000	74.0580000	74.0580000	74.0580000	0
USDCB	60	20210709	010000	75.1952000	75.1952000	75.1952000	75.1952000	0
USDCB	60	20210710	010000	74.4675000	74.4675000	74.4675000	74.4675000	0
USDCB	60	20210713	010000	74.6336000	74.6336000	74.6336000	74.6336000	0
USDCB	60	20210714	010000	74.0589000	74.0589000	74.0589000	74.0589000	0
USDCB	60	20210715	010000	74.1236000	74.1236000	74.1236000	74.1236000	0
USDCB	60	20210716	010000	74.2197000	74.2197000	74.2197000	74.2197000	0
USDCB	60	20210717	010000	74.1656000	74.1656000	74.1656000	74.1656000	0
USDCB	60	20210720	010000	74.3463000	74.3463000	74.3463000	74.3463000	0
USDCB	60	20210721	010000	74.4910000	74.4910000	74.4910000	74.4910000	0
USDCB	60	20210722	010000	74.4947000	74.4947000	74.4947000	74.4947000	0
USDCB	60	20210723	010000	73.6945000	73.6945000	73.6945000	73.6945000	0
USDCB	60	20210724	010000	73.7663000	73.7663000	73.7663000	73.7663000	0
USDCB	60	20210727	010000	74.0980000	74.0980000	74.0980000	74.0980000	0
USDCB	60	20210728	010000	73.8471000	73.8471000	73.8471000	73.8471000	0
USDCB	60	20210729	010000	73.6088000	73.6088000	73.6088000	73.6088000	0
USDCB	60	20210730	010000	73.1904000	73.1904000	73.1904000	73.1904000	0
USDCB	60	20210731	010000	73.1388000	73.1388000	73.1388000	73.1388000	0
USDCB	60	20210803	010000	73.0156000	73.0156000	73.0156000	73.0156000	0
USDCB	60	20210804	010000	72.8724000	72.8724000	72.8724000	72.8724000	0
USDCB	60	20210805	010000	72.7857000	72.7857000	72.7857000	72.7857000	0
USDCB	60	20210806	010000	73.1680000	73.1680000	73.1680000	73.1680000	0
USDCB	60	20210807	010000	73.1304000	73.1304000	73.1304000	73.1304000	0
USDCB	60	20210810	010000	73.5078000	73.5078000	73.5078000	73.5078000	0
USDCB	60	20210811	010000	73.5962000	73.5962000	73.5962000	73.5962000	0
USDCB	60	20210812	010000	73.9695000	73.9695000	73.9695000	73.9695000	0
USDCB	60	20210813	010000	73.5671000	73.5671000	73.5671000	73.5671000	0
USDCB	60	20210814	010000	73.4721000	73.4721000	73.4721000	73.4721000	0
USDCB	60	20210817	010000	73.3920000	73.3920000	73.3920000	73.3920000	0
USDCB	60	20210818	010000	73.4753000	73.4753000	73.4753000	73.4753000	0
USDCB	60	20210819	010000	73.4633000	73.4633000	73.4633000	73.4633000	0
USDCB	60	20210820	010000	74.1503000	74.1503000	74.1503000	74.1503000	0
USDCB	60	20210821	010000	74.3640000	74.3640000	74.3640000	74.3640000	0
USDCB	60	20210824	010000	74.0666000	74.0666000	74.0666000	74.0666000	0
USDCB	60	20210825	010000	73.9465000	73.9465000	73.9465000	73.9465000	0
USDCB	60	20210826	010000	73.7428000	73.7428000	73.7428000	73.7428000	0
USDCB	60	20210827	010000	73.9908000	73.9908000	73.9908000	73.9908000	0
USDCB	60	20210828	010000	73.9866000	73.9866000	73.9866000	73.9866000	0
USDCB	60	20210831	010000	73.5744000	73.5744000	73.5744000	73.5744000	0
USDCB	60	20210901	010000	73.2781000	73.2781000	73.2781000	73.2781000	0
USDCB	60	20210902	010000	73.1912000	73.1912000	73.1912000	73.1912000	0
USDCB	60	20210903	010000	72.8491000	72.8491000	72.8491000	72.8491000	0
USDCB	60	20210904	010000	72.8545000	72.8545000	72.8545000	72.8545000	0
USDCB	60	20210907	010000	72.9538000	72.9538000	72.9538000	72.9538000	0
USDCB	60	20210908	010000	73.1909000	73.1909000	73.1909000	73.1909000	0
USDCB	60	20210909	010000	73.4421000	73.4421000	73.4421000	73.4421000	0
USDCB	60	20210910	010000	73.1290000	73.1290000	73.1290000	73.1290000	0
USDCB	60	20210911	010000	72.7600000	72.7600000	72.7600000	72.7600000	0
USDCB	60	20210914	010000	73.0841000	73.0841000	73.0841000	73.0841000	0
USDCB	60	20210915	010000	72.7171000	72.7171000	72.7171000	72.7171000	0
USDCB	60	20210916	010000	72.8520000	72.8520000	72.8520000	72.8520000	0
USDCB	60	20210917	010000	72.4329000	72.4329000	72.4329000	72.4329000	0
USDCB	60	20210918	010000	72.5602000	72.5602000	72.5602000	72.5602000	0
USDCB	60	20210921	010000	73.3315000	73.3315000	73.3315000	73.3315000	0
USDCB	60	20210922	010000	73.2067000	73.2067000	73.2067000	73.2067000	0
USDCB	60	20210923	010000	72.8806000	72.8806000	72.8806000	72.8806000	0
USDCB	60	20210924	010000	72.7245000	72.7245000	72.7245000	72.7245000	0
USDCB	60	20210925	010000	73.0081000	73.0081000	73.0081000	73.0081000	0
USDCB	60	20210928	010000	72.6613000	72.6613000	72.6613000	72.6613000	0
USDCB	60	20210929	010000	72.5083000	72.5083000	72.5083000	72.5083000	0
USDCB	60	20210930	010000	72.7608000	72.7608000	72.7608000	72.7608000	0
USDCB	60	20211001	010000	72.6642000	72.6642000	72.6642000	72.6642000	0
USDCB	60	20211002	010000	72.9215000	72.9215000	72.9215000	72.9215000	0
USDCB	60	20211005	010000	72.9239000	72.9239000	72.9239000	72.9239000	0
USDCB	60	20211006	010000	72.5686000	72.5686000	72.5686000	72.5686000	0
USDCB	60	20211007	010000	72.5682000	72.5682000	72.5682000	72.5682000	0
USDCB	60	20211008	010000	72.2854000	72.2854000	72.2854000	72.2854000	0
USDCB	60	20211009	010000	71.9882000	71.9882000	71.9882000	71.9882000	0
USDCB	60	20211012	010000	71.6373000	71.6373000	71.6373000	71.6373000	0
USDCB	60	20211013	010000	71.8801000	71.8801000	71.8801000	71.8801000	0
USDCB	60	20211014	010000	71.8577000	71.8577000	71.8577000	71.8577000	0
USDCB	60	20211015	010000	71.7846000	71.7846000	71.7846000	71.7846000	0
USDCB	60	20211016	010000	71.2371000	71.2371000	71.2371000	71.2371000	0
USDCB	60	20211019	010000	71.1714000	71.1714000	71.1714000	71.1714000	0
USDCB	60	20211020	010000	70.9674000	70.9674000	70.9674000	70.9674000	0
USDCB	60	20211021	010000	71.0555000	71.0555000	71.0555000	71.0555000	0
USDCB	60	20211022	010000	70.9904000	70.9904000	70.9904000	70.9904000	0
USDCB	60	20211023	010000	70.8623000	70.8623000	70.8623000	70.8623000	0
USDCB	60	20211026	010000	70.1345000	70.1345000	70.1345000	70.1345000	0
USDCB	60	20211027	010000	69.5526000	69.5526000	69.5526000	69.5526000	0
USDCB	60	20211028	010000	69.8104000	69.8104000	69.8104000	69.8104000	0
USDCB	60	20211029	010000	70.5207000	70.5207000	70.5207000	70.5207000	0
USDCB	60	20211030	010000	70.5200000	70.5200000	70.5200000	70.5200000	0
USDCB	60	20211102	010000	71.0863000	71.0863000	71.0863000	71.0863000	0
USDCB	60	20211103	010000	71.4783000	71.4783000	71.4783000	71.4783000	0
USDCB	60	20211104	010000	71.4876000	71.4876000	71.4876000	71.4876000	0
USDCB	60	20211109	010000	71.3975000	71.3975000	71.3975000	71.3975000	0
USDCB	60	20211110	010000	71.2866000	71.2866000	71.2866000	71.2866000	0
USDCB	60	20211111	010000	70.6950000	70.6950000	70.6950000	70.6950000	0
USDCB	60	20211112	010000	71.1964000	71.1964000	71.1964000	71.1964000	0
USDCB	60	20211113	010000	71.8118000	71.8118000	71.8118000	71.8118000	0
USDCB	60	20211116	010000	72.2724000	72.2724000	72.2724000	72.2724000	0
USDCB	60	20211117	010000	72.5553000	72.5553000	72.5553000	72.5553000	0
USDCB	60	20211118	010000	72.8228000	72.8228000	72.8228000	72.8228000	0
USDCB	60	20211119	010000	72.6022000	72.6022000	72.6022000	72.6022000	0
USDCB	60	20211120	010000	72.7617000	72.7617000	72.7617000	72.7617000	0
USDCB	60	20211123	010000	73.4506000	73.4506000	73.4506000	73.4506000	0
USDCB	60	20211124	010000	74.8327000	74.8327000	74.8327000	74.8327000	0
USDCB	60	20211125	010000	74.3726000	74.3726000	74.3726000	74.3726000	0
USDCB	60	20211126	010000	74.6004000	74.6004000	74.6004000	74.6004000	0
USDCB	60	20211127	010000	75.5873000	75.5873000	75.5873000	75.5873000	0
USDCB	60	20211130	010000	74.9818000	74.9818000	74.9818000	74.9818000	0
USDCB	60	20211201	010000	74.8926000	74.8926000	74.8926000	74.8926000	0
USDCB	60	20211202	010000	73.9746000	73.9746000	73.9746000	73.9746000	0
USDCB	60	20211203	010000	74.0637000	74.0637000	74.0637000	74.0637000	0
USDCB	60	20211204	010000	73.7426000	73.7426000	73.7426000	73.7426000	0
USDCB	60	20211207	010000	73.6694000	73.6694000	73.6694000	73.6694000	0
USDCB	60	20211208	010000	74.1399000	74.1399000	74.1399000	74.1399000	0
USDCB	60	20211209	010000	73.8453000	73.8453000	73.8453000	73.8453000	0
USDCB	60	20211210	010000	73.5998000	73.5998000	73.5998000	73.5998000	0
USDCB	60	20211211	010000	73.6059000	73.6059000	73.6059000	73.6059000	0
USDCB	60	20211214	010000	73.4107000	73.4107000	73.4107000	73.4107000	0
USDCB	60	20211215	010000	73.4698000	73.4698000	73.4698000	73.4698000	0
USDCB	60	20211216	010000	73.8510000	73.8510000	73.8510000	73.8510000	0
USDCB	60	20211217	010000	73.5708000	73.5708000	73.5708000	73.5708000	0
USDCB	60	20211218	010000	73.7330000	73.7330000	73.7330000	73.7330000	0
USDCB	60	20211221	010000	74.2947000	74.2947000	74.2947000	74.2947000	0
USDCB	60	20211222	010000	73.8206000	73.8206000	73.8206000	73.8206000	0
USDCB	60	20211223	010000	73.7901000	73.7901000	73.7901000	73.7901000	0
USDCB	60	20211224	010000	73.3583000	73.3583000	73.3583000	73.3583000	0
USDCB	60	20211225	010000	73.1886000	73.1886000	73.1886000	73.1886000	0
USDCB	60	20211228	010000	73.2329000	73.2329000	73.2329000	73.2329000	0
USDCB	60	20211229	010000	73.4959000	73.4959000	73.4959000	73.4959000	0
USDCB	60	20211230	010000	73.6514000	73.6514000	73.6514000	73.6514000	0
USDCB	60	20211231	010000	74.2926000	74.2926000	74.2926000	74.2926000	0
USDCB	60	20220111	010000	75.1315000	75.1315000	75.1315000	75.1315000	0
USDCB	60	20220112	010000	74.8355000	74.8355000	74.8355000	74.8355000	0
USDCB	60	20220113	010000	74.5277000	74.5277000	74.5277000	74.5277000	0
USDCB	60	20220114	010000	74.5686000	74.5686000	74.5686000	74.5686000	0
USDCB	60	20220115	010000	75.7668000	75.7668000	75.7668000	75.7668000	0
USDCB	60	20220118	010000	76.0404000	76.0404000	76.0404000	76.0404000	0
USDCB	60	20220119	010000	76.3347000	76.3347000	76.3347000	76.3347000	0
USDCB	60	20220120	010000	76.8697000	76.8697000	76.8697000	76.8697000	0
USDCB	60	20220121	010000	76.4408000	76.4408000	76.4408000	76.4408000	0
USDCB	60	20220122	010000	76.6903000	76.6903000	76.6903000	76.6903000	0
USDCB	60	20220125	010000	77.3649000	77.3649000	77.3649000	77.3649000	0
USDCB	60	20220126	010000	78.6422000	78.6422000	78.6422000	78.6422000	0
USDCB	60	20220127	010000	78.9437000	78.9437000	78.9437000	78.9437000	0
USDCB	60	20220128	010000	78.9470000	78.9470000	78.9470000	78.9470000	0
USDCB	60	20220129	010000	77.8174000	77.8174000	77.8174000	77.8174000	0
